"","Name","Price","Rating","Reviews","Ratings"
"102","SteelSeries Rival 3 Wireless - Wireless Gaming Mouse - 400+ Hour Battery Life - Dual Wireless 2.4 GHz and Bluetooth 5.0 - 60 Million Clicks - 18,000 CPI , Black  ","£43.17£43.17","17,157","4.4 out of 5 stars",NA
"103","Logitech G PRO X SUPERLIGHT 2 LIGHTSPEED Wireless Gaming Mouse, Lightweight, LIGHTFORCE Hybrid Switches, HERO 2 Sensor, 32,000 DPI, 5 Programmable Buttons, USB-C Charging, PC & Mac - Black  ","£44.99£44.99","8,321","4.6 out of 5 stars",NA
"104","SteelSeries Apex Pro TKL HyperMagnetic Gaming Keyboard - Adjustable Actuation - Esports Tenkeyless - OLED Screen - PBT Keycaps - USB-C - 2023 Edition - English QWERTY Layout  ","£31.49£31.49","5,631","4.4 out of 5 stars",NA
"105","Hcman RGB Gaming Mouse Mat Pad Large Thick(800×300×4mm) XXXL Extended Led Mousepad with Non-Slip Rubber Base, Soft Computer Keyboard Mice Mat for Macbook, PC, Laptop, Desk - Black  ","£49.49£49.49","13,162","4.6 out of 5 stars",NA
"106","NEWMEN GM610 Wireless Mechanical Keyboard,60% USB C Wired/Bluetooth/2.4Ghz RGB Backlit Compact Hot Swappable Keyboard,White Anti-Ghosting PC Mac Windows Android Gaming Keyboard(Red Switches)  ","£143.10£143.10","1,064","4.2 out of 5 stars",NA
"107","Razer DeathAdder Essential (2021) - Wired Gaming Mouse (Optical Sensor, 6400 DPI, 5 Programmable Buttons, Ergonomic Form Factor) Black  ","£170.99£170.99","26,828","4.5 out of 5 stars",NA
"108","Meatanty Undetectable Mouse Mover Usb Physical Mouse Jiggler Moves Mouse Randomly, Automatic Mouse Mover Device with LED Display and ON/OFF Switch, Running Frequency Adjustable, Keeps PC Laptop Active  ","£19.16£19.16","1,831","4.5 out of 5 stars",NA
"109","Orzly Gaming Keyboard RGB USB Wired Rainbow Keyboard Designed for PC Gamers, PS4, PS5, Laptop, Xbox, Nintendo Switch, RX250-K Hornet Edition (Black)  ","£24.99£24.99","1,526","4.1 out of 5 stars",NA
"110","Logitech G G213 Prodigy Gaming Keyboard, LIGHTSYNC RGB Backlit Keys, Spill-Resistant, Customizable Keys, Dedicated Multi-Media Keys, QWERTY UK Layout - Black  ","£33.32£33.32","8,179","4.3 out of 5 stars",NA
"111","Razer Basilisk V3 - Customizable Ergonomic Gaming-Mouse with fastest Mouse Switch, 26K dpi Optical Sensor (Chroma RGB Lighting, 11 Programmable Buttons, HyperScroll Tilt Wheel) Black  ","£52.49£52.49","5,594","4.7 out of 5 stars",NA
"112","HyperX Cloud Alpha Wireless - Gaming Headset for PC, 300-hour battery life, DTS Headphone:X Spatial Audio, Memory foam, Dual Chamber Drivers, Noise-cancelling mic, Durable aluminium frame  ","£20.79£20.79","3,131","4.3 out of 5 stars",NA
"113","TECKNET Wireless Gaming Mouse 2.4G Optical USB Computer Mice, 8 Buttons, 4800DPI Nano Receiver for Win11, Win10, Win8, Win7, Windows XP, Vista, MAC  ","£24.99£24.99","8,551","4.3 out of 5 stars",NA
"114","RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, UK Layout Mechanical Feel Keyboard + 7D 3200DPI Mice for PC Gamer (Black)  ","£19.99£19.99","562","4.2 out of 5 stars",NA
"115",NA,"£24.99£24.99",NA,"4 Stars & Up",NA
"116",NA,"£16.66£16.66",NA,"3 Stars & Up",NA
"117",NA,"£20.82£20.82",NA,"2 Stars & Up",NA
"118",NA,"£55.43£55.43",NA,"1 Star & Up",NA
"119",NA,"£41.66£41.66",NA,NA,NA
"120",NA,"£49.99£49.99",NA,NA,NA
"121",NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA
"123","Combrite Falcon Gaming Keyboard And Mouse Set, TKL Compact Size, Rainbow LED Backlit, USB Wired Desktop Combo, UK Layout  ","£20.40£20.40","122","4.2 out of 5 stars",NA
"124","havit Mechanical Gaming Keyboard UK Layout Wired Red Switch 90 Keys TKL PBT Keycaps with Number Pad for PC/Laptop/Computer, Black  ","£37.49£37.49","717","4.4 out of 5 stars",NA
"125","Razer Barracuda X - Wireless Multi-platform Gaming and Mobile Headset (SmartSwitch Dual Wireless, Ergonomic Design, TriForce 40 mm, Cardioid Mic, On-Headset Controls, 50h Battery USB-C) Black  ","£58.49£58.49","1,383","4.1 out of 5 stars",NA
"126","SteelSeries Aerox 3 Wireless - Super Light Wireless Gaming Mouse - 18,000 CPI TrueMove Air Optical Sensor - 200 Hour Battery Life - Black  ","£89.99£89.99","5,132","4.3 out of 5 stars",NA
"127","Logitech G Pro X Superlight 2 Lightspeed Wireless Gaming Mouse, German Packaging - Black  ","£35.82£35.82","111","4.5 out of 5 stars",NA
"128","Logitech G502 HERO Special Edition High-Performance Wired Gaming Mouse, 25K HERO Sensor, 25600 DPI, RGB, Adjustable Weight, 11 Programmable Buttons, PC/Mac - Black and White  ","£38.67£38.67","29,111","4.7 out of 5 stars",NA
"129","Razer Cynosa Lite - Essential Gaming Keyboard (Fully Programmable, RGB Chroma Lighting, Gaming Grade Keys, 10 Key Roll-Over, Spill Resistant) UK Layout | Black  ","£24.53£24.53","3,180","4.4 out of 5 stars",NA
"130","Trust Gaming GXT 1863 Thaz Mechanical Keyboard with UK Layout - Mechanical Outemu RED Switches, Anti-Ghosting N-key Rollover, 14 Colour Modes, USB Plug and Play, PC/Mac/Laptop [Amazon Exclusive]  ","£37.49£37.49","365","4.0 out of 5 stars",NA
"131","Gaming Headset for Ps-4 Xbox One S 3.5mm Wired Over-head Stereo Gaming Headset Headphone with Mic Microphone, Volume Control for Ps-4 PC Tablet Laptop Smartphone Xbox One S  ","£17.99£17.99","6,133","4.0 out of 5 stars",NA
"132","Corsair MM200 Extended Cloth Surface Mousepad Glide-Optimised Textile Surface, Anti-Slip Base, Designed for Optical and Laser Mice, 930 x 300 x 2 mm, Black  ","£21.14£21.14","4,459","4.6 out of 5 stars",NA
"133","Sehawei Arcade Stick 16Keys All-Button Gamerfinger with Custom RGB & Turbo Functions,Arcade Controller Street Fight for PC/Ps3/Ps4/Switch/Steam Game Keyboard-Supports Hot Swap & SOCD  ","£11.66£11.66","70","4.6 out of 5 stars",NA
"134","RedThunder K84 75% Wireless Gaming Keyboard and Mouse Rainbow Backlight UK Layout 85 Keys TKL Ultra Compact Mini Design Lightweight Honeycomb Gaming Mouse for PC Mac PS5 Xbox Office Gamers  ","£15.29£15.29","67","4.2 out of 5 stars",NA
"135","Luna Wireless Controller  ","£26.99£26.99","1,251","4.4 out of 5 stars",NA
"136","Orzly Accessory Bundle Kit designed for Nintendo switch Accessories Geeks and Oled console users Case and Screen protector, Joycon grips and Wheels for enhanced games play and more - Jet black  ","£59.99£59.99","19,729","4.7 out of 5 stars",NA
"137","Subsonic Superdrive - SV450 Racing steering wheel with pedal and paddle shifters for Xbox Serie X/S, Switch, PS4, Xbox One, PC (programmable for all games) (Xbox Series X)  ","£49.99£49.99","1,652","4.0 out of 5 stars",NA
